City,Lat,Long,Temp,Max Temp,Min Temp,Humidity,Clouds,Wind,Country,Datetime
carnarvon,-24.8667,113.6333,24.22,24.22,24.22,76,0,8.94,AU,1674925349
hithadhoo,-0.6,73.0833,27.66,27.66,27.66,76,88,5.64,MV,1674925220
mahebourg,-20.4081,57.7,26.25,26.25,26.25,85,76,1.79,MU,1674925350
fairbanks,64.8378,-147.7164,-9.3,-8.84,-12.81,83,100,0.28,US,1674925350
faanui,-16.4833,-151.75,27.24,27.24,27.24,72,13,6.48,PF,1674925350
anguillara sabazia,42.0875,12.2767,6.41,7.5,5.06,68,78,2.54,IT,1674925351
butaritari,3.0707,172.7902,27.18,27.18,27.18,78,13,11.49,KI,1674925352
guerrero negro,27.9769,-114.0611,16.25,16.25,16.25,47,94,2.02,MX,1674925352
khatanga,71.9667,102.5,-31.9,-31.9,-31.9,90,30,3.93,RU,1674925352
victoria,22.2855,114.1577,12.5,13.03,10.53,29,25,5.36,HK,1674925258
hermanus,-34.4187,19.2345,18.22,18.22,18.22,70,100,7.69,ZA,1674925352
hilo,19.7297,-155.09,20.17,21.27,18.3,89,100,1.79,US,1674925353
upernavik,72.7868,-56.1549,-18.66,-18.66,-18.66,92,100,1.27,GL,1674925353
punta arenas,-53.15,-70.9167,15.62,15.62,15.62,48,70,8.61,CL,1674925353
albany,42.6001,-73.9662,6.01,6.83,4.65,48,41,1.34,US,1674925354
honiara,-9.4333,159.95,25.79,25.79,25.79,86,97,0.54,SB,1674925354
marawi,7.9986,124.2928,19.76,19.76,19.76,97,85,1.02,PH,1674925354
new norfolk,-42.7826,147.0587,13.1,15.72,12.18,65,48,1.01,AU,1674925355
nemuro,43.3236,145.575,-8.26,-8.26,-8.26,71,89,10.44,JP,1674925206
manoel urbano,-8.8389,-69.2597,28.9,28.9,28.9,71,88,2.27,BR,1674925355
sterling,39.0062,-77.4286,10.3,11.86,8.75,46,75,6.26,US,1674925355
sisimiut,66.9395,-53.6735,-10.77,-10.77,-10.77,83,100,8.09,GL,1674925355
yenagoa,4.9247,6.2642,28.07,28.07,28.07,71,98,3.33,NG,1674925355
port alfred,-33.5906,26.891,20.1,20.1,20.1,91,39,1.79,ZA,1674925356
yumen,40.2833,97.2,-8.84,-8.84,-8.84,36,3,5.19,CN,1674925356
mataura,-46.1927,168.8643,9.07,9.07,9.07,98,0,0.38,NZ,1674925356
hobart,-42.8794,147.3294,14.81,15.92,12.37,82,38,2.57,AU,1674925065
lebu,-37.6167,-73.65,18.2,18.2,18.2,63,0,9.18,CL,1674925356
xiuyan,40.2928,123.2744,-8.44,-8.44,-8.44,58,2,0.98,CN,1674925356
solnechnyy,50.7214,136.6319,-31.04,-31.04,-31.04,96,33,1.72,RU,1674925357
kursavka,44.4564,42.5093,-0.63,-0.63,-0.63,92,100,4.17,RU,1674925357
buchanan,5.8808,-10.0467,28.16,28.16,28.16,69,62,4.61,LR,1674925357
kavaratti,10.5669,72.642,26.69,26.69,26.69,72,4,4.55,IN,1674925358
baruun-urt,46.6806,113.2792,-15.31,-15.31,-15.31,85,25,4.22,MN,1674925358
mehamn,71.0357,27.8492,-4.03,-0.05,-4.03,86,100,4.12,NO,1674925358
puerto ayora,-0.7393,-90.3518,26.42,26.42,26.42,88,51,2.68,EC,1674925358
waddan,29.1614,16.139,12.89,12.89,12.89,25,0,3.13,LY,1674925359
rikitea,-23.1203,-134.9692,25.81,25.81,25.81,74,62,4.62,PF,1674925359
general roca,-39.0333,-67.5833,35.35,35.35,35.35,18,0,6.63,AR,1674925359
vaini,-21.2,-175.2,27.06,27.06,27.06,77,55,2.88,TO,1674925359
ushuaia,-54.8,-68.3,14.81,14.81,14.79,47,20,11.83,AR,1674925081
cidreira,-30.1811,-50.2056,27.97,27.97,27.97,69,38,5.2,BR,1674925360
severo-kurilsk,50.6789,156.125,-3.79,-3.79,-3.79,74,100,6.15,RU,1674925360
hamilton,39.1834,-84.5333,9.19,10.36,7.36,56,0,5.66,US,1674925360
